                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.8577,                0.98755,                  1.755,                0.84306,                0.62329,                0.69095,                0.44771,                 1.9189,                0.99663,                 1.5738,             0.00036764,             0.00036764,             0.00036764
                     51,                 1.7892,                0.94683,                 1.7656,                0.84391,                0.61154,                0.68781,                0.44634,                 1.9319,                0.99456,                 1.5758,             0.00036057,             0.00036057,             0.00036057
                     52,                  1.763,                0.93851,                 1.7573,                0.84359,                0.62122,                0.69787,                0.45275,                 1.9316,                0.97299,                 1.5708,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.7566,                0.93551,                 1.7618,                0.84716,                0.61986,                0.70537,                0.45685,                 1.9155,                0.97328,                 1.5735,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.7069,                0.91769,                  1.738,                0.83576,                 0.6187,                0.69266,                0.44689,                 1.9263,                 1.0019,                 1.5766,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.7785,                 0.9586,                 1.7464,                0.85332,                0.61714,                0.69586,                0.45192,                 1.9087,                0.96674,                 1.5708,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.7039,                0.91048,                 1.7461,                0.82475,                0.62109,                0.69274,                0.44774,                 1.9176,                 0.9646,                 1.5676,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.7635,                0.92016,                 1.7384,                0.83402,                0.62582,                0.70119,                0.45389,                 1.9197,                0.96959,                 1.5768,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.7305,                0.91892,                 1.7436,                0.86693,                0.61322,                0.70318,                0.45954,                 1.8979,                0.95549,                 1.5668,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.7336,                0.90322,                 1.7357,                0.84338,                0.63562,                0.70851,                0.46259,                  1.891,                0.94097,                 1.5729,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.7365,                0.91547,                 1.7385,                0.85049,                0.62979,                0.70432,                  0.459,                 1.8958,                0.95051,                  1.573,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.7499,                0.90632,                  1.732,                0.84643,                0.63388,                0.70606,                0.45884,                 1.8946,                0.93942,                  1.571,             0.00028988,             0.00028988,             0.00028988
                     62,                 1.6776,                0.87579,                 1.7342,                0.83963,                0.63298,                0.70311,                0.46314,                 1.8884,                0.94819,                 1.5663,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.7398,                0.89911,                  1.731,                0.86503,                0.62265,                0.71299,                0.46929,                 1.8788,                0.93812,                 1.5738,             0.00027575,             0.00027575,             0.00027575
                     64,                 1.7499,                0.89168,                 1.7228,                 0.8544,                0.62316,                 0.7082,                0.46692,                 1.8613,                0.93969,                 1.5625,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.7565,                0.91679,                 1.7383,                0.86652,                0.62551,                0.70961,                0.47027,                 1.8751,                0.92153,                 1.5637,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.7048,                0.89193,                 1.7362,                0.88927,                0.63518,                0.72352,                0.47161,                 1.8656,                0.92332,                 1.5582,             0.00025454,             0.00025454,             0.00025454
                     67,                 1.7428,                0.89909,                 1.7397,                0.86299,                0.63337,                0.71087,                0.46652,                  1.848,                 0.9252,                 1.5533,             0.00024747,             0.00024747,             0.00024747
                     68,                 1.6898,                0.86139,                  1.712,                0.84023,                 0.6381,                0.70928,                0.46634,                 1.8607,                0.91782,                 1.5566,              0.0002404,              0.0002404,              0.0002404
                     69,                 1.7181,                0.88849,                 1.7381,                0.84758,                0.63741,                0.71331,                0.46947,                 1.8544,                0.92331,                 1.5624,             0.00023334,             0.00023334,             0.00023334
                     70,                 1.7025,                0.86579,                 1.7259,                0.84469,                0.64126,                0.71491,                0.47489,                 1.8434,                0.91699,                 1.5581,             0.00022627,             0.00022627,             0.00022627
                     71,                 1.6752,                0.84657,                 1.7275,                0.86289,                 0.6294,                0.71058,                0.46857,                 1.8597,                 0.9172,                 1.5593,              0.0002192,              0.0002192,              0.0002192
                     72,                 1.6782,                0.84846,                  1.724,                0.85241,                 0.6365,                0.71713,                0.47246,                 1.8507,                0.90827,                 1.5556,             0.00021213,             0.00021213,             0.00021213
                     73,                 1.7021,                0.86316,                  1.735,                0.87581,                0.63026,                0.71842,                0.47184,                 1.8598,                0.92044,                 1.5572,             0.00020506,             0.00020506,             0.00020506
                     74,                 1.6323,                0.83981,                 1.7322,                0.86486,                0.63219,                0.72171,                0.47771,                 1.8511,                0.90313,                  1.564,             0.00019799,             0.00019799,             0.00019799
                     75,                 1.6777,                0.84474,                 1.7301,                 0.8661,                0.63869,                0.72418,                0.47491,                  1.841,                0.90456,                 1.5597,             0.00019092,             0.00019092,             0.00019092
                     76,                  1.668,                 0.8282,                 1.7143,                0.85489,                0.63832,                0.72026,                0.47703,                  1.827,                0.88911,                  1.559,             0.00018385,             0.00018385,             0.00018385
                     77,                 1.6853,                0.85325,                 1.7224,                0.85491,                0.63003,                0.71781,                0.47431,                 1.8393,                0.90551,                 1.5656,             0.00017679,             0.00017679,             0.00017679
                     78,                 1.6399,                0.83009,                 1.7355,                0.83908,                0.64779,                0.72041,                 0.4753,                 1.8223,                0.89873,                 1.5541,             0.00016972,             0.00016972,             0.00016972
                     79,                 1.6386,                0.81556,                 1.7238,                0.86103,                0.63911,                0.71958,                0.47826,                 1.8155,                 0.8888,                 1.5551,             0.00016265,             0.00016265,             0.00016265
                     80,                 1.6249,                0.82504,                 1.7195,                0.86491,                0.64204,                0.72406,                0.47659,                 1.8304,                0.88477,                 1.5545,             0.00015558,             0.00015558,             0.00015558
                     81,                  1.618,                0.84006,                 1.7152,                0.86702,                0.64083,                0.72455,                0.48001,                 1.8065,                0.88424,                  1.549,             0.00014851,             0.00014851,             0.00014851
                     82,                 1.6145,                0.82752,                 1.7149,                0.87179,                0.63963,                0.72608,                 0.4822,                 1.8198,                0.88082,                 1.5561,             0.00014144,             0.00014144,             0.00014144
                     83,                 1.6177,                0.81229,                 1.7169,                0.88915,                0.63327,                 0.7247,                0.48311,                 1.8155,                0.87621,                 1.5507,             0.00013437,             0.00013437,             0.00013437
                     84,                 1.6411,                0.83908,                 1.7175,                0.87055,                0.63947,                0.72829,                0.48533,                 1.8217,                0.87172,                 1.5528,             0.00012731,             0.00012731,             0.00012731
                     85,                 1.6382,                0.81607,                 1.7257,                 0.8781,                0.64213,                0.73133,                 0.4876,                 1.8094,                0.87372,                 1.5536,             0.00012024,             0.00012024,             0.00012024
                     86,                 1.7105,                 1.0325,                 1.9009,                0.86434,                0.64477,                0.72332,                0.47961,                 1.8167,                0.87493,                 1.5623,             0.00011317,             0.00011317,             0.00011317
                     87,                  1.626,                0.80667,                   1.72,                 0.8665,                0.63892,                0.72986,                 0.4861,                  1.797,                0.86093,                 1.5459,              0.0001061,              0.0001061,              0.0001061
                     88,                 1.6084,                0.78963,                 1.7114,                0.85526,                0.65382,                0.73163,                0.48516,                 1.7944,                0.86529,                 1.5512,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                 1.5231,                0.73734,                  1.718,                0.86644,                 0.6462,                0.72987,                0.48645,                 1.7907,                0.86007,                  1.549,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                  1.568,                 0.7783,                 1.7305,                0.86459,                0.64449,                0.72585,                0.48541,                 1.7978,                0.86643,                 1.5525,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                 1.6913,                0.79514,                 1.6904,                  0.865,                0.64681,                0.72844,                0.48545,                 1.8005,                0.86514,                 1.5466,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                 1.7073,                0.79806,                 1.6953,                0.86723,                0.64325,                0.72824,                0.48648,                 1.7909,                0.86271,                 1.5427,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 1.6749,                0.78475,                 1.6839,                0.86027,                0.64955,                0.72875,                0.48793,                 1.7884,                0.86003,                 1.5473,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 1.7047,                0.80398,                 1.6909,                0.87276,                0.64686,                0.72941,                0.48942,                 1.7902,                0.85513,                 1.5475,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                 1.7238,                0.81612,                 1.6831,                0.87173,                0.64842,                   0.73,                0.48708,                 1.7853,                0.85836,                 1.5457,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                 1.6883,                0.81004,                 1.6927,                0.87292,                0.64533,                0.73227,                0.48901,                 1.7878,                0.84939,                 1.5514,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                 1.6882,                0.78992,                 1.6857,                0.88102,                0.64014,                0.73209,                0.49262,                 1.7832,                0.85424,                 1.5501,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                 1.6746,                0.77936,                 1.6725,                0.86669,                0.64884,                0.73493,                0.49194,                 1.7803,                0.85218,                 1.5493,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                 1.6668,                0.77748,                 1.6813,                0.86741,                0.64925,                0.73679,                0.49366,                 1.7806,                0.85216,                 1.5478,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 1.6451,                0.75705,                 1.6814,                0.87384,                0.64459,                0.73381,                0.49183,                 1.7769,                 0.8482,                 1.5459,             1.4209e-05,             1.4209e-05,             1.4209e-05
