                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.7374,                0.90659,                 1.7591,                0.86458,                0.61144,                0.70205,                0.46328,                 1.9017,                0.97406,                 1.6081,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.7822,                0.91583,                 1.7604,                0.86013,                0.62375,                0.71183,                0.46524,                 1.9201,                0.95736,                 1.6053,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.7733,                 1.0755,                 1.7373,                0.83067,                0.63799,                0.70683,                0.46547,                 1.9002,                0.95977,                 1.6035,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.8011,                0.92598,                 1.7653,                0.84908,                0.62808,                0.70806,                 0.4684,                 1.8777,                0.95675,                 1.5995,             0.00036764,             0.00036764,             0.00036764
                     51,                  1.741,                0.90145,                 1.7786,                0.84569,                0.62058,                0.70276,                0.46229,                 1.9015,                 0.9728,                 1.6158,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.7028,                0.88678,                 1.7727,                0.84236,                0.63063,                 0.7132,                 0.4718,                 1.8775,                 0.9488,                 1.6064,              0.0003535,              0.0003535,              0.0003535
                     53,                 1.6952,                0.88401,                 1.7736,                0.85176,                0.62496,                0.71517,                0.47681,                  1.877,                 0.9453,                 1.6032,             0.00034643,             0.00034643,             0.00034643
                     54,                 1.6522,                0.85906,                 1.7508,                0.85371,                0.63612,                0.71804,                0.47485,                 1.8705,                 0.9462,                 1.5976,             0.00033936,             0.00033936,             0.00033936
                     55,                 1.7185,                0.89307,                 1.7606,                0.85003,                0.62925,                0.71658,                0.47385,                 1.8686,                0.92509,                 1.6002,              0.0003323,              0.0003323,              0.0003323
                     56,                 1.6402,                0.86263,                 1.7632,                0.85244,                0.63173,                0.71636,                0.47796,                 1.8719,                0.91482,                 1.6033,             0.00032523,             0.00032523,             0.00032523
                     57,                 1.6967,                0.87274,                 1.7433,                0.85104,                0.63581,                0.71902,                0.47904,                  1.859,                0.93263,                 1.5976,             0.00031816,             0.00031816,             0.00031816
                     58,                 1.6748,                0.87684,                 1.7551,                0.86724,                0.62764,                0.72671,                0.48143,                 1.8612,                  0.917,                 1.5977,             0.00031109,             0.00031109,             0.00031109
                     59,                 1.6851,                0.85881,                 1.7492,                0.86402,                0.63282,                0.72423,                0.48211,                 1.8515,                0.90169,                 1.5837,             0.00030402,             0.00030402,             0.00030402
                     60,                 1.6708,                0.84238,                 1.7439,                0.86964,                0.63282,                0.72768,                0.48139,                 1.8422,                 0.9013,                 1.5785,             0.00029695,             0.00029695,             0.00029695
                     61,                 1.6851,                0.84801,                 1.7407,                0.85864,                0.63787,                0.72837,                0.48437,                 1.8359,                0.89889,                 1.5944,             0.00028988,             0.00028988,             0.00028988
                     62,                 1.6242,                0.82605,                 1.7502,                0.86836,                0.63436,                 0.7262,                0.48359,                 1.8521,                0.90328,                  1.606,             0.00028282,             0.00028282,             0.00028282
                     63,                 1.6779,                0.84268,                 1.7473,                  0.856,                0.63345,                 0.7289,                0.48748,                 1.8405,                0.90644,                 1.6014,             0.00027575,             0.00027575,             0.00027575
                     64,                  1.683,                0.83796,                 1.7271,                0.85625,                0.63964,                0.72513,                0.48686,                  1.834,                0.89907,                 1.5999,             0.00026868,             0.00026868,             0.00026868
                     65,                 1.6978,                0.85316,                 1.7458,                0.86997,                0.63907,                0.73334,                0.49306,                 1.8313,                0.88868,                 1.6029,             0.00026161,             0.00026161,             0.00026161
                     66,                 1.6792,                0.84674,                 1.7559,                0.85529,                0.65024,                0.73142,                  0.491,                 1.8313,                0.88461,                 1.5966,             0.00025454,             0.00025454,             0.00025454
                     67,                  1.686,                0.84827,                  1.751,                0.85068,                0.64567,                0.73071,                0.49049,                 1.8159,                0.89497,                 1.5946,             0.00024747,             0.00024747,             0.00024747
