                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.68751,                0.46433,                0.86377,                 0.8847,                0.61847,                0.70064,                0.45578,                0.75461,                0.42455,                0.76896,             0.00037471,             0.00037471,             0.00037471
                     50,                0.66407,                0.38641,                0.87523,                0.85094,                0.62558,                0.70366,                 0.4612,                0.74757,                0.42104,                0.76916,             0.00036764,             0.00036764,             0.00036764
                     51,                0.65495,                0.38625,                0.88614,                0.82638,                0.63177,                0.69951,                0.45828,                0.74662,                0.42269,                0.76522,             0.00036057,             0.00036057,             0.00036057
                     52,                0.64933,                0.37995,                0.88147,                0.86981,                0.61389,                 0.7091,                0.46371,                0.74705,                 0.4153,                0.76582,              0.0003535,              0.0003535,              0.0003535
                     53,                0.63721,                0.38278,                0.87845,                0.86769,                0.62177,                 0.7038,                0.45244,                0.76523,                0.42918,                0.77461,             0.00034643,             0.00034643,             0.00034643
                     54,                0.62268,                0.37052,                0.87253,                0.86661,                0.61992,                0.70572,                0.46216,                0.76694,                0.43213,                0.77881,             0.00033936,             0.00033936,             0.00033936
                     55,                0.64782,                0.39393,                0.87671,                0.86418,                0.62892,                0.70973,                0.46638,                0.74118,                0.41368,                0.76298,              0.0003323,              0.0003323,              0.0003323
                     56,                0.62066,                0.37942,                 0.8717,                0.85991,                0.62309,                0.70701,                0.46286,                0.74408,                0.41368,                0.76864,             0.00032523,             0.00032523,             0.00032523
                     57,                 0.6389,                0.38085,                0.86799,                 0.8512,                0.63167,                0.70598,                0.46265,                0.73712,                0.40793,                0.76004,             0.00031816,             0.00031816,             0.00031816
                     58,                0.62544,                0.37279,                0.87496,                0.86965,                0.62103,                0.70799,                0.46743,                0.73459,                0.41134,                0.76172,             0.00031109,             0.00031109,             0.00031109
                     59,                0.63669,                0.36879,                0.86908,                0.86681,                0.62533,                0.70099,                0.46279,                0.74105,                0.40865,                0.76772,             0.00030402,             0.00030402,             0.00030402
                     60,                0.62404,                0.36507,                0.86972,                0.88075,                0.61967,                0.71581,                0.47459,                0.73722,                 0.4077,                0.76697,             0.00029695,             0.00029695,             0.00029695
                     61,                0.63698,                 0.3697,                0.86935,                0.87505,                0.62943,                0.71281,                0.46984,                0.73084,                0.39695,                 0.7586,             0.00028988,             0.00028988,             0.00028988
                     62,                0.61186,                0.36168,                0.86807,                0.88854,                0.61855,                0.71193,                0.46847,                0.73428,                0.40496,                 0.7649,             0.00028282,             0.00028282,             0.00028282
                     63,                0.63064,                0.36867,                0.86837,                0.85177,                 0.6377,                0.71966,                 0.4774,                0.73344,                0.40162,                0.76526,             0.00027575,             0.00027575,             0.00027575
                     64,                0.64234,                0.36821,                  0.866,                0.85745,                0.63953,                0.71404,                 0.4731,                0.73558,                0.40259,                0.77346,             0.00026868,             0.00026868,             0.00026868
                     65,                0.64395,                0.36587,                  0.869,                0.86173,                0.63842,                  0.722,                0.47767,                0.74049,                0.40996,                0.77149,             0.00026161,             0.00026161,             0.00026161
                     66,                0.63017,                0.36285,                0.87595,                0.84959,                0.64755,                0.71351,                0.47241,                0.73861,                 0.4069,                0.77575,             0.00025454,             0.00025454,             0.00025454
                     67,                0.62501,                0.36439,                0.86663,                0.86371,                0.63821,                0.71875,                0.47481,                 0.7323,                0.40175,                0.76957,             0.00024747,             0.00024747,             0.00024747
                     68,                0.60384,                 0.3508,                0.85722,                 0.8779,                0.63376,                0.71815,                0.47584,                0.72365,                0.38976,                0.75497,              0.0002404,              0.0002404,              0.0002404
                     69,                0.63411,                0.36387,                0.87293,                0.85639,                0.64552,                0.71731,                0.47623,                0.72372,                0.39221,                0.76071,             0.00023334,             0.00023334,             0.00023334
                     70,                0.60793,                0.35613,                0.86279,                0.87828,                0.63592,                0.72729,                0.48074,                0.72083,                0.38837,                0.75932,             0.00022627,             0.00022627,             0.00022627
                     71,                0.60555,                0.34341,                0.86687,                0.86464,                0.63997,                0.72108,                0.47827,                0.71982,                0.38964,                0.76063,              0.0002192,              0.0002192,              0.0002192
                     72,                0.60643,                0.34456,                0.86383,                0.87624,                0.63957,                0.72193,                0.47751,                0.71874,                0.38726,                  0.755,             0.00021213,             0.00021213,             0.00021213
                     73,                0.60032,                0.34374,                0.86819,                0.88198,                0.63142,                0.71964,                0.47776,                0.72053,                0.38939,                0.75913,             0.00020506,             0.00020506,             0.00020506
                     74,                0.59258,                0.34208,                0.86886,                0.87703,                0.64093,                0.72231,                0.48093,                0.71776,                0.38788,                 0.7609,             0.00019799,             0.00019799,             0.00019799
                     75,                0.60127,                0.34331,                0.86609,                0.87954,                0.64006,                0.72316,                0.48355,                0.71533,                0.38841,                0.75792,             0.00019092,             0.00019092,             0.00019092
                     76,                0.60675,                0.34406,                0.85627,                0.87583,                0.64258,                0.72276,                0.48126,                 0.7101,                0.38502,                0.76012,             0.00018385,             0.00018385,             0.00018385
                     77,                    inf,                0.34575,                0.85981,                   0.87,                0.63826,                0.71695,                0.47886,                0.71343,                0.37848,                0.75954,             0.00017679,             0.00017679,             0.00017679
                     78,                0.61315,                0.34099,                0.88036,                 0.8862,                0.63642,                0.72478,                0.48105,                0.71088,                0.38487,                0.75627,             0.00016972,             0.00016972,             0.00016972
                     79,                0.60376,                0.34141,                0.86684,                0.88617,                0.62798,                0.72456,                0.48362,                0.71186,                 0.3867,                0.75566,             0.00016265,             0.00016265,             0.00016265
                     80,                0.58777,                0.33613,                0.86178,                0.87802,                0.64385,                0.72656,                0.48436,                0.71946,                0.39202,                0.76741,             0.00015558,             0.00015558,             0.00015558
                     81,                 0.5904,                 0.3337,                 0.8633,                0.88768,                0.63672,                0.73197,                0.48936,                0.70517,                0.38198,                0.75637,             0.00014851,             0.00014851,             0.00014851
                     82,                0.58938,                0.33474,                0.85955,                0.89976,                0.63527,                0.73162,                0.48755,                0.71729,                0.39175,                0.76838,             0.00014144,             0.00014144,             0.00014144
                     83,                0.58653,                0.33026,                0.85971,                0.88489,                0.63732,                0.73097,                0.48833,                0.70599,                0.38238,                0.75383,             0.00013437,             0.00013437,             0.00013437
                     84,                0.58694,                0.33944,                0.86042,                0.89523,                0.63477,                0.73493,                0.48963,                0.71081,                0.38444,                0.75711,             0.00012731,             0.00012731,             0.00012731
                     85,                0.58884,                0.32933,                0.86594,                0.86827,                0.64395,                0.73003,                0.49069,                0.72139,                0.39014,                0.77103,             0.00012024,             0.00012024,             0.00012024
                     86,                0.63347,                0.38303,                0.92595,                0.87791,                0.64171,                0.72644,                0.48702,                0.71517,                0.38691,                0.76388,             0.00011317,             0.00011317,             0.00011317
                     87,                0.58605,                0.33168,                0.86176,                0.87434,                0.64202,                0.73122,                0.48869,                0.70507,                0.37748,                0.75542,              0.0001061,              0.0001061,              0.0001061
                     88,                0.58479,                0.32583,                 0.8594,                0.86666,                0.65173,                 0.7333,                0.48956,                0.70744,                0.38064,                0.76055,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.55305,                0.31059,                0.86079,                0.87431,                0.64805,                0.73737,                0.49067,                0.70645,                 0.3794,                0.75876,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.55836,                0.32212,                0.86595,                0.87318,                0.64835,                0.73406,                0.49198,                0.70801,                0.38155,                0.76339,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.62907,                0.32866,                0.84443,                0.88925,                 0.6417,                0.73177,                0.48935,                0.71341,                0.38118,                0.76835,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.63041,                0.32638,                0.84975,                0.88968,                0.64003,                0.73171,                0.48964,                 0.7088,                 0.3815,                0.76631,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.62685,                0.32579,                0.84258,                0.86956,                0.64696,                0.73642,                0.49182,                0.69916,                0.37579,                0.75801,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 0.6328,                0.32779,                0.84443,                 0.8555,                0.65792,                0.73607,                0.49344,                0.70585,                0.37489,                0.76331,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.63274,                0.32778,                0.84398,                0.87048,                0.64419,                0.73396,                0.49194,                0.70136,                0.37519,                0.75784,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.61827,                0.33168,                0.84647,                0.86293,                0.65505,                0.73835,                0.49488,                0.70248,                0.37447,                0.75922,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.62606,                0.32618,                0.84354,                 0.8704,                0.65233,                0.73954,                0.49606,                0.70246,                0.37551,                0.75914,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.62047,                0.32179,                0.83649,                0.86237,                0.65614,                0.74049,                 0.4954,                0.69889,                 0.3745,                0.75784,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.61504,                0.31523,                0.84083,                0.86209,                0.65619,                0.74064,                0.49424,                0.69784,                0.37199,                0.75664,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                 0.6089,                0.31047,                0.84508,                0.86715,                0.65474,                0.74032,                0.49489,                0.69668,                0.37258,                0.75622,             1.4209e-05,             1.4209e-05,             1.4209e-05
